id,name,category,routeOrder
1,G1_主桁_①-1,extra,1
2,G1_主桁_①-2,extra,2
3,G1_主桁_①-3,extra,3
4,G1_主桁_①-4,extra,4
5,G1_主桁_①-5,extra,5
6,G1_主桁_①-6,extra,6
7,G1_主桁_①-7,extra,7
8,G2_主桁_②-1,extra,8
9,G2_主桁_②-2,extra,9
10,G2_主桁_②-3,extra,10
11,G2_主桁_②-4,extra,11
12,G2_主桁_②-5,extra,12
13,G2_主桁_②-6,extra,13
14,G2_主桁_②-7,extra,14
15,G3_主桁_③-1,extra,15
16,G3_主桁_③-2,extra,16
17,G3_主桁_③-3,extra,17
18,G3_主桁_③-4,extra,18
19,G3_主桁_③-5,extra,19
20,G3_主桁_③-6,extra,20
21,G3_主桁_③-7,extra,21
22,G4_主桁_④-1,extra,22
23,G4_主桁_④-2,extra,23
24,G4_主桁_④-3,extra,24
25,G4_主桁_④-4,extra,25
26,G4_主桁_④-5,extra,26
27,G4_主桁_④-6,extra,27
28,G4_主桁_④-7,extra,28
29,G4_主桁_⑤-1,extra,29
30,G4_主桁_⑤-2,extra,30
31,G4_主桁_⑤-3,extra,31
32,G4_主桁_⑤-4,extra,32
33,G4_主桁_⑤-5,extra,33
34,G4_主桁_⑤-6,extra,34
35,G4_主桁_⑤-7,extra,35
36,G4_主桁_⑥-1,extra,36
37,G4_主桁_⑥-2,extra,37
38,G4_主桁_⑥-3,extra,38
39,G4_主桁_⑥-4,extra,39
40,G4_主桁_⑥-5,extra,40
41,G4_主桁_⑥-6,extra,41
42,G4_主桁_⑥-7,extra,42
43,G1_主桁_1⃣-1,extra,43
44,G1_主桁_1⃣-2,extra,44
45,G1_主桁_1⃣-3,extra,45
46,G1_主桁_1⃣-4,extra,46
47,G1_主桁_1⃣-5,extra,47
48,G1_主桁_1⃣-6,extra,48
49,G1_主桁_1⃣-7,extra,49
50,G2_主桁_2⃣-1,extra,50
51,G2_主桁_2⃣-2,extra,51
52,G1_主桁_2⃣-3,extra,52
53,G1_主桁_2⃣-4,extra,53
54,G1_主桁_2⃣-5,extra,54
55,G1_主桁_2⃣-6,extra,55
56,G1_主桁_2⃣-7,extra,56
57,G3_主桁_3⃣-1,extra,57
58,G3_主桁_3⃣-2,extra,58
59,G1_主桁_3⃣-3,extra,59
60,G1_主桁_3⃣-4,extra,60
61,G1_主桁_3⃣-5,extra,61
62,G1_主桁_3⃣-6,extra,62
63,G1_主桁_3⃣-7,extra,63
64,G4_主桁_4⃣-1,extra,64
65,G4_主桁_4⃣-2,extra,65
66,G1_主桁_4⃣-3,extra,66
67,G1_主桁_4⃣-4,extra,67
68,G1_主桁_4⃣-5,extra,68
69,G1_主桁_4⃣-6,extra,69
70,G1_主桁_4⃣-7,extra,70
71,G1_添接板_◎-1,special,71
72,G4_添接板_◎-2,special,72
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
